LowAlpha,LowAlphaPhase,HighAlpha,HighAlphaPhase,LowBeta,LowBetaPhase,HighBeta,HighBetaPhase,LowGamma,LowGammePhase,HighGamma,HighGammaPhase,eyes
540.9125279,-0.638582096,357.8044314,1.093269346,347.4368185,1.353454348,293.656594,-0.042932355,363.0436707,0.072287406,382.1854612,0.30350684,0
522.7919679,1.893201132,291.5362003,-0.658163558,335.0722199,1.02543639,305.6878781,-0.677562095,375.0804255,0.408998524,383.9340848,0.339655035,0
330.6206572,1.184528776,511.8637299,-1.362998278,427.0193098,-0.417015275,305.7001761,-0.4684329,394.6737532,0.727932146,409.7269888,0.269071989,0
322.1201116,0.336690854,596.468336,-1.215212921,304.2414655,-0.500351581,339.7075346,-0.196342731,420.1522761,-0.023928598,415.9744253,-0.017462531,0
359.7535291,-0.638017016,354.832132,-0.263517039,348.7740732,-0.050244104,357.4955721,-0.489159876,394.3092033,0.547969832,391.9506625,0.488236526,0
476.2752311,1.185675502,325.6283553,0.522623662,276.7602834,-0.508190196,344.2770162,0.391066095,395.5014427,0.874785381,352.9673467,0.77371826,0
500.5078982,1.305209008,519.0465927,0.612964453,286.4188106,1.219216218,376.8576541,0.514859592,319.2461006,-0.466165739,303.7708517,-0.106384428,0
473.1247284,-0.486296134,325.0753336,-0.377890702,323.8399335,2.090941175,324.3599878,0.131174311,326.6197276,-0.492655138,301.1986143,0.114812944,0
487.4155065,-1.396625031,320.8102106,-1.644724188,278.8968165,-1.142825745,275.3554033,-0.201312816,243.9818857,-0.508536213,246.67711,-0.326527907,0
446.7318003,0.776595143,337.6032351,-0.956110665,299.4157661,-0.793428294,291.3284293,-0.952549204,230.3992357,-0.621265839,246.1498264,-0.391848938,0
484.7188914,-0.599143423,425.1814709,-2.224811882,286.4763266,-0.421612178,302.0658306,-1.289952588,201.6393198,-0.275239728,236.3536339,-0.218862118,0
686.5508957,-1.397746783,539.8200463,-1.519050507,224.9691337,-0.510988387,291.614647,0.19986619,226.1745649,-0.968074787,242.5634903,-0.299576708,0
313.1873953,-1.020624503,206.6248674,0.85952285,195.4232817,1.403656528,240.1125985,-0.063655123,259.6955451,0.64581337,245.609101,0.768679308,0
522.3508591,1.86889835,335.4679628,1.817459671,134.8925016,-0.377386672,272.566484,1.37988883,275.7134367,0.492311234,254.4650248,0.228656485,0
352.1451485,0.403014792,148.2866326,2.578651154,162.1261225,-0.388354295,231.8652771,-0.279940746,252.2545559,0.20380268,248.403508,-0.636608458,0
