LowGamma,LowGammePhase,HighGamma,HighGammaPhase,focus
1020.287221,-1.538947413,3731.079546,-1.508556077,1
972.5643663,-1.336751993,3694.550748,-0.901664395,1
845.5603404,-0.280941667,3427.074261,-0.142395637,1
810.0138674,0.092670859,3433.822201,-0.091229777,1
906.4727685,-0.47567509,3422.357581,-0.936470794,1
906.0325965,-0.596486071,3195.021177,-0.435541118,1
946.4814814,-1.270901246,2721.669595,-0.930797,1
719.1865574,0.345984101,2183.148081,0.169357695,1
719.3653851,-1.082304894,2183.224823,-0.823045827,1
721.2924082,0.344409219,2182.973792,0.168456327,1
1184.217837,0.846429151,3472.746963,1.115466943,1
1285.284961,0.721670741,3631.11523,0.539532909,1
1059.485106,0.909848362,3420.047334,1.152362933,1
1093.015938,0.709679835,3759.868315,0.973644457,1
993.7130729,0.417926289,3674.763114,0.644984902,1
981.6666097,0.517610681,3525.133851,-0.186331877,1
857.5859899,0.334054808,3492.929452,0.210878552,1
873.5927557,0.566068104,3352.874084,0.499943602,1
907.0294347,0.888856733,3095.463253,0.872071385,1
957.9044409,0.750807315,2451.386595,0.099130594,1
719.0631493,-0.549519624,2189.003795,-0.207291423,1
719.2469996,-0.264100183,2189.058951,-0.207435,1
758.2770826,-0.52020202,2206.244313,-0.524538064,1
1257.46575,-1.337118782,3537.401016,-1.225811859,1
1168.506465,-1.191607533,3666.003926,-1.340639905,1
1036.425677,-0.787628701,3471.957599,-0.866773156,1
951.0815834,-0.704698765,3679.71496,-1.011431347,1
829.4877742,-0.048951562,3563.032266,-0.44822005,1
833.5488827,-0.166989291,3499.481864,-0.421714914,1
954.7254818,0.583758052,3512.314623,-0.105701904,1
770.6736258,-0.863312575,3264.280194,-0.936072987,1
795.1474611,-0.372594842,3001.390266,-0.789410415,1
577.9802145,1.807537675,2078.927107,1.772293209,1
619.5177217,-0.329718293,2107.539427,-0.626304418,1
619.2218506,-0.043691686,2107.563448,0.035376219,1
1341.025468,1.693180351,2615.415872,1.341335277,1
1353.514708,1.084659973,3427.076856,0.817246712,1
1293.278681,1.104976891,3628.270276,0.595225132,1
1264.340678,0.919622046,3644.569157,0.763077736,1
1045.392709,1.062663838,3671.169532,0.721578805,1
1073.203207,0.809199341,3602.073426,0.203346188,1
915.8806018,0.49908922,3519.270028,0.438573959,1
946.7210796,0.797596277,3488.492832,0.781777029,1
896.1858828,1.058655106,3324.628436,0.803851977,1
814.5542083,0.261989076,2978.115414,0.520614151,1
664.8929737,-1.77557311,2119.115942,-2.075041312,1
595.0131667,-0.324859096,2069.426662,-0.387787457,1
595.1289888,-0.039201316,2069.65035,-0.057202485,1
1795.509044,-2.099587956,3278.008442,-1.262890921,1
1442.452729,-2.051305194,3446.864409,-1.372413731,1
1264.396239,-1.820131804,3571.469361,-1.602842132,1
1107.743239,-1.696620061,3603.888877,-1.256305109,1
956.0940656,-1.3623083,3626.837814,-0.84049324,1
821.2271961,-1.02374362,3397.085975,-0.404190569,1
783.1314785,-0.50959187,3407.628729,0.02263684,1
864.7388379,-1.691590886,3394.166247,-1.17936377,1
796.9975552,-0.91092317,3181.054358,-0.561568922,1
644.3344665,-0.092806219,2732.494491,-0.198176932,1
615.0109842,-1.387406974,2158.415352,-0.401459,1
614.8267559,-0.529992073,2158.328321,-0.070293281,1
614.7232401,-0.814673752,2158.409323,-0.400492104,1
1219.213052,1.119181383,3450.869392,0.976275492,1
1256.754132,0.752386278,3568.637966,0.634730423,1
1027.369999,0.677125793,3457.541393,1.13454978,1
1022.440121,0.917116221,3774.729533,1.467106408,1
955.7468775,0.413051754,3735.680755,0.716631304,1
882.1173798,0.532390181,3463.43201,0.253191024,1
828.2569464,0.609023167,3474.01198,0.478462469,1
928.1799076,1.239218987,3414.66218,0.726570026,1
919.2861362,1.443322475,3198.573369,1.010875996,1
975.5696432,1.059677128,2701.572483,0.688544426,1
646.8261645,-0.285058116,2140.786398,0.070883855,1
647.5564223,0.001429637,2140.990589,0.071092859,1
647.5338231,0.285506856,2140.67216,0.401041719,1
1226.603816,-1.267087963,3519.801515,-1.135924894,1
1235.154851,-1.333583582,3628.551522,-1.018176973,1
1157.257114,-1.338666516,3501.032144,-1.153479277,1
978.5128494,-0.972756861,3679.735477,-0.737088129,1
984.6949634,-0.09972217,3638.043849,-0.376710555,1
935.7594799,-0.221747354,3510.179327,-0.043217123,1
881.0912577,-0.039116087,3491.779441,-0.057382671,1
969.5207423,-1.616047195,3390.688562,-1.169805598,1
938.9286589,-1.100630268,3086.901591,-0.677495349,1
1008.422569,-2.221224027,2394.102463,-0.034422288,1
690.6003482,0.136791356,2144.141279,-0.1341151,1
690.6003482,0.422390688,2144.141279,0.196578863,1
799.4642258,0.802726961,2195.747355,0.464083007,1
1224.58844,0.588323834,3437.797823,0.821699458,1
1170.279358,0.67496451,3615.767088,0.669812641,1
1175.843788,0.636579257,3606.517016,0.888654596,1
1052.700254,0.729832235,3716.645467,0.999115775,1
885.9567531,0.137578444,3529.936012,0.279348182,1
858.7425982,0.091771842,3470.194761,0.324739932,1
931.4923292,-1.199239489,3476.507762,-0.236503008,1
740.6069691,0.733384717,3294.160788,0.821981627,1
729.2003157,1.002516418,2996.054712,0.769449468,1
631.5783166,-1.644304786,2100.336891,-1.552939465,1
604.86094,0.173513706,2072.334428,0.322843973,1
604.8361896,-0.68325298,2072.425092,-0.33840672,1
1799.481449,-1.815678917,3075.358709,-1.071985824,1
1458.872913,-1.563297249,3445.85881,-1.423295122,1
1308.383582,-1.092781856,3594.835389,-1.107388589,1
1108.755963,-1.375516586,3566.174584,-0.973147348,1
941.893707,-0.722611607,3606.836929,-0.383688802,1
879.4403565,-0.353033841,3443.879756,-0.239605868,1
822.1621692,0.194707738,3450.918667,0.190736761,1
835.787276,-0.641619832,3410.439129,-0.802694551,1
