LowAlpha,LowAlphaPhase,HighAlpha,HighAlphaPhase,LowBeta,LowBetaPhase,HighBeta,HighBetaPhase,LowGamma,LowGammePhase,HighGamma,HighGammaPhase,AvgAlpha ,AvgBeta,AvgGamma,AvgAlphaPrevious1,AvgBetaPrevious1,AvgGammaPrevious1,AvgAlphaPrevious2,AvgBetaPrevious2,AvgGammaPrevious2,AvgAlphaPrevious3,AvgBetaPrevious3,AvgGammaPrevious3,AvgAlphaPrevious4,AvgBetaPrevious4,AvgGammaPrevious4,AvgAlphaPrevious5,AvgBetaPrevious5,AvgGammaPrevious5,eyesC
1027.613265,0.838892195,416.8540862,0.745172696,415.017183,0.905450934,469.9651346,0.726655998,564.0512188,0.902844974,818.3084141,0.989010623,722.2336758,442.4911588,691.1798164,695.2580276,392.6172396,708.4161517,750.0641932,499.2939518,937.490502,671.6673407,384.4481667,800.13632,639.8794019,363.5871466,748.57372,645.7139414,461.1977843,713.6463704,1
1107.67071,0.676564786,617.4472025,1.556533158,380.7005372,1.383902611,490.6667105,0.423259219,472.0979112,1.297512613,952.5053939,1.468909332,862.5589564,435.6836239,712.3016526,722.2336758,442.4911588,691.1798164,695.2580276,392.6172396,708.4161517,750.0641932,499.2939518,937.490502,671.6673407,384.4481667,800.13632,639.8794019,363.5871466,748.57372,1
689.4012443,-0.28567433,528.1567949,2.380767913,236.8854842,-0.577179425,427.6805202,0.456934802,423.6146746,0.221360024,937.433126,0.84621571,608.7790196,332.2830022,680.5239003,862.5589564,435.6836239,712.3016526,722.2336758,442.4911588,691.1798164,695.2580276,392.6172396,708.4161517,750.0641932,499.2939518,937.490502,671.6673407,384.4481667,800.13632,1
577.8593767,-1.166240787,593.3369866,2.054929005,370.8475643,1.611648169,397.427687,0.375757729,503.63454,0.767525052,966.112561,1.101432287,585.5981816,384.1376257,734.8735505,608.7790196,332.2830022,680.5239003,862.5589564,435.6836239,712.3016526,722.2336758,442.4911588,691.1798164,695.2580276,392.6172396,708.4161517,750.0641932,499.2939518,937.490502,1
454.4444131,1.066547757,646.2231509,1.951310137,298.9316397,1.056323704,382.5092537,0.294071616,519.5186956,0.592317026,829.622435,0.445420681,550.333782,340.7204467,674.5705653,585.5981816,384.1376257,734.8735505,608.7790196,332.2830022,680.5239003,862.5589564,435.6836239,712.3016526,722.2336758,442.4911588,691.1798164,695.2580276,392.6172396,708.4161517,1
775.3856478,-1.847665127,265.6598313,0.085625674,337.9800744,-0.118868435,378.0005131,0.190441786,444.8909616,0.577880937,802.2550736,-0.364253759,520.5227395,357.9902937,623.5730176,550.333782,340.7204467,674.5705653,585.5981816,384.1376257,734.8735505,608.7790196,332.2830022,680.5239003,862.5589564,435.6836239,712.3016526,722.2336758,442.4911588,691.1798164,1
430.0254314,3.045020578,314.4405299,0.573924443,276.8919512,-0.266537434,385.8055017,0.30444593,436.4361864,-0.31012355,824.9249157,-0.714001605,372.2329806,331.3487264,630.6805511,520.5227395,357.9902937,623.5730176,550.333782,340.7204467,674.5705653,585.5981816,384.1376257,734.8735505,608.7790196,332.2830022,680.5239003,862.5589564,435.6836239,712.3016526,1
480.2124078,-2.049295463,475.2030677,-1.861015868,305.7212229,-1.92305447,463.0862064,-1.010212014,442.2903573,-0.390082157,881.6782015,-0.616783487,477.7077378,384.4037147,661.9842794,372.2329806,331.3487264,630.6805511,520.5227395,357.9902937,623.5730176,550.333782,340.7204467,674.5705653,585.5981816,384.1376257,734.8735505,608.7790196,332.2830022,680.5239003,1
348.8751583,-0.561975615,462.1278177,-1.5585403,316.8994778,0.011586265,411.4309259,0.096768578,498.1337792,0.233438514,892.3303101,-0.345506717,405.501488,364.1652019,695.2320447,477.7077378,384.4037147,661.9842794,372.2329806,331.3487264,630.6805511,520.5227395,357.9902937,623.5730176,550.333782,340.7204467,674.5705653,585.5981816,384.1376257,734.8735505,1
393.5723662,-1.459761479,368.2300026,-1.038099212,338.4363096,-1.669477464,391.922986,-0.681581596,492.0675294,-0.831205894,1030.839442,-0.605598328,380.9011844,365.1796478,761.453486,405.501488,364.1652019,695.2320447,477.7077378,384.4037147,661.9842794,372.2329806,331.3487264,630.6805511,520.5227395,357.9902937,623.5730176,550.333782,340.7204467,674.5705653,1
714.4878406,-1.678520282,376.5149314,-0.124697255,357.9354886,-0.930120601,445.3049786,-1.204548223,524.621478,-0.291331392,1135.219315,-0.696843834,545.501386,401.6202336,829.9203964,380.9011844,365.1796478,761.453486,405.501488,364.1652019,695.2320447,477.7077378,384.4037147,661.9842794,372.2329806,331.3487264,630.6805511,520.5227395,357.9902937,623.5730176,1
823.4775471,-1.543703801,450.5543797,-1.339133945,383.0977239,-1.055776188,511.2623834,-1.067720281,528.1150219,-1.3620718,1131.821005,-1.551436047,637.0159634,447.1800537,829.9680135,545.501386,401.6202336,829.9203964,380.9011844,365.1796478,761.453486,405.501488,364.1652019,695.2320447,477.7077378,384.4037147,661.9842794,372.2329806,331.3487264,630.6805511,1
630.857115,-1.48371751,504.6373354,-0.549445574,315.6841252,-1.152771874,464.9740407,0.005858075,543.7998473,-1.180787249,978.1132642,-1.726035021,567.7472252,390.3290829,760.9565558,637.0159634,447.1800537,829.9680135,545.501386,401.6202336,829.9203964,380.9011844,365.1796478,761.453486,405.501488,364.1652019,695.2320447,477.7077378,384.4037147,661.9842794,1
650.6786171,0.696856281,455.4711317,-0.235720405,381.8356974,0.405201462,616.1134658,-0.78470308,534.2690979,-1.417498632,976.629394,-1.4123319,553.0748744,498.9745816,755.449246,567.7472252,390.3290829,760.9565558,637.0159634,447.1800537,829.9680135,545.501386,401.6202336,829.9203964,380.9011844,365.1796478,761.453486,405.501488,364.1652019,695.2320447,1
958.8180958,-0.154892848,449.623406,1.003431063,494.7112173,-0.702151545,537.8962109,-1.059209622,488.2092987,-0.672329688,1059.770316,-1.033905245,704.2207509,516.3037141,773.9898073,553.0748744,498.9745816,755.449246,567.7472252,390.3290829,760.9565558,637.0159634,447.1800537,829.9680135,545.501386,401.6202336,829.9203964,380.9011844,365.1796478,761.453486,1
1180.167133,2.136707888,685.6067388,2.496907564,245.7923737,0.101050007,557.7482565,-0.86035994,497.0228431,-0.568684969,1151.628462,-0.722829496,932.8869357,401.7703151,824.3256528,704.2207509,516.3037141,773.9898073,553.0748744,498.9745816,755.449246,567.7472252,390.3290829,760.9565558,637.0159634,447.1800537,829.9680135,545.501386,401.6202336,829.9203964,1
878.7604567,1.182343375,460.2965679,-2.147963944,288.1203248,0.464278779,357.4515115,0.409767241,443.113155,-1.186158218,988.8920325,-0.62816133,669.5285123,322.7859181,716.0025938,932.8869357,401.7703151,824.3256528,704.2207509,516.3037141,773.9898073,553.0748744,498.9745816,755.449246,567.7472252,390.3290829,760.9565558,637.0159634,447.1800537,829.9680135,1
